repo_origin,column_base_type,column_percentage,value_percentage,compressed_percentage,uncompressed_percentage
Kaggle,Binary,0.0,0.0,0.0,0.0
Kaggle,Boolean,0.039251,0.042472,0.0,0.0
Kaggle,DateTime,0.000587,0.000587,0.034526,0.010393
Kaggle,Enum,0.005518,0.010894,0.0,0.0
Kaggle,Float,0.489096,0.469199,0.0,0.0
Kaggle,Int,0.269573,0.284803,0.563231,0.507811
Kaggle,JSON,0.0,0.0,0.0,0.0
Kaggle,OTHER,0.003644,0.001531,0.0,0.0
Kaggle,Text,0.192331,0.190513,0.402243,0.481796
SQLStorm,Binary,0.0,0.0,0.0,0.0
SQLStorm,Boolean,0.008621,0.003877,0.0,0.0
SQLStorm,DateTime,0.057347,0.080045,0.102954,0.047089
SQLStorm,Enum,0.0,0.0,0.0,0.0
SQLStorm,Float,0.083944,0.14325,0.0,0.0
SQLStorm,Int,0.457803,0.537946,0.599399,0.472705
SQLStorm,JSON,0.0,0.0,0.0,0.0
SQLStorm,OTHER,0.0,0.0,0.0,0.0
SQLStorm,Text,0.392285,0.234881,0.297647,0.480206
TPC,Binary,0.0,0.0,0.0,0.0
TPC,Boolean,0.0,0.0,0.0,0.0
TPC,DateTime,0.045728,0.083706,0.125398,0.037958
TPC,Enum,0.0,0.0,0.0,0.0
TPC,Float,0.167888,0.286501,0.0,0.0
TPC,Int,0.378091,0.45933,0.676052,0.591818
TPC,JSON,0.0,0.0,0.0,0.0
TPC,OTHER,0.0,0.0,0.0,0.0
TPC,Text,0.408293,0.170464,0.19855,0.370224
