repo_origin,semantic_type_llm,column_percentage,value_percentage,compressed_percentage,uncompressed_percentage
Kaggle,Category,0.227571,0.212921,0.157853,0.147073
Kaggle,Contact,0.001323,1.3e-05,0.0,0.0
Kaggle,DateTime,0.051549,0.05991,0.096844,0.035426
Kaggle,FullText,0.09204,0.107692,0.263575,0.253194
Kaggle,Identifier,0.462546,0.499813,0.44211,0.513007
Kaggle,Location,0.001761,0.001743,0.0,0.0
Kaggle,Name,0.042715,0.024607,0.003852,0.0054
Kaggle,Other,0.054645,0.037817,0.0,0.0
Kaggle,Semistructured,0.065852,0.055484,0.035766,0.045901
Kaggle,,0.0,0.0,0.0,0.0
SQLStorm,Category,0.266178,0.375482,0.078941,0.352836
SQLStorm,Contact,0.030795,0.014001,0.100714,0.019709
SQLStorm,DateTime,0.010795,0.005692,0.001163,0.001062
SQLStorm,FullText,0.200879,0.282428,0.214959,0.178396
SQLStorm,Identifier,0.222817,0.134285,0.480165,0.301135
SQLStorm,Location,0.04134,0.027131,0.016133,0.02435
SQLStorm,Name,0.142925,0.115133,0.099903,0.099592
SQLStorm,Other,0.071112,0.038401,0.008022,0.02292
SQLStorm,Semistructured,0.013158,0.007447,0.0,0.0
SQLStorm,,0.0,0.0,0.0,0.0
TPC,Category,0.372727,0.6482,0.134407,0.502054
TPC,Contact,0.049091,0.017262,0.201228,0.039417
TPC,DateTime,0.009091,0.002221,0.002327,0.002125
TPC,FullText,0.205455,0.137907,0.410648,0.24082
TPC,Identifier,0.161818,0.061944,0.144827,0.091026
TPC,Location,0.054545,0.053198,0.045939,0.060415
TPC,Name,0.047273,0.036078,0.049364,0.036415
TPC,Other,0.1,0.043191,0.011258,0.027728
TPC,Semistructured,0.0,0.0,0.0,0.0
TPC,,0.0,0.0,0.0,0.0
